Name,Bin.Center,Freq.Dist
Cocitation Network,0.005,16.15882807
Cocitation Network,0.015,13.48342474
Cocitation Network,0.025,9.713538229
Cocitation Network,0.035,7.619379073
Cocitation Network,0.045,6.00605646
Cocitation Network,0.055,5.016381245
Cocitation Network,0.065,4.303127038
Cocitation Network,0.075,3.675479336
Cocitation Network,0.085,3.174641273
Cocitation Network,0.095,2.732607678
Cocitation Network,0.105,2.423784208
Cocitation Network,0.115,2.22776931
Cocitation Network,0.125,1.994551586
Cocitation Network,0.135,1.745332645
Cocitation Network,0.145,1.631724011
Cocitation Network,0.155,1.450110208
Cocitation Network,0.165,1.274896892
Cocitation Network,0.175,1.190890508
Cocitation Network,0.185,1.094483181
Cocitation Network,0.195,0.98447482
Cocitation Network,0.205,0.922070077
Cocitation Network,0.215,0.874466459
Cocitation Network,0.225,0.772458707
Cocitation Network,0.235,0.707253751
Cocitation Network,0.245,0.650849465
Cocitation Network,0.255,0.610046364
Cocitation Network,0.265,0.558442442
Cocitation Network,0.275,0.555242198
Cocitation Network,0.285,0.49683776
Cocitation Network,0.295,0.471635844
Cocitation Network,0.305,0.40723095
Cocitation Network,0.315,0.386829399
Cocitation Network,0.325,0.361227453
Cocitation Network,0.335,0.32802493
Cocitation Network,0.345,0.332425264
Cocitation Network,0.355,0.28882195
Cocitation Network,0.365,0.28842192
Cocitation Network,0.375,0.254019305
Cocitation Network,0.385,0.223216964
Cocitation Network,0.395,0.208015809
Cocitation Network,0.405,0.197214988
Cocitation Network,0.415,0.186814198
Cocitation Network,0.425,0.160812222
Cocitation Network,0.435,0.141210732
Cocitation Network,0.445,0.141210732
Cocitation Network,0.455,0.140410671
Cocitation Network,0.465,0.132010033
Cocitation Network,0.475,0.114408695
Cocitation Network,0.485,0.084406415
Cocitation Network,0.495,0.100807661
Cocitation Network,0.505,0.090806901
Cocitation Network,0.515,0.082806293
Cocitation Network,0.525,0.086406567
Cocitation Network,0.535,0.076805837
Cocitation Network,0.545,0.073605594
Cocitation Network,0.555,0.064804925
Cocitation Network,0.565,0.061604682
Cocitation Network,0.575,0.048403679
Cocitation Network,0.585,0.046403527
Cocitation Network,0.595,0.044403375
Cocitation Network,0.605,0.037202827
Cocitation Network,0.615,0.036002736
Cocitation Network,0.625,0.032002432
Cocitation Network,0.635,0.031202371
Cocitation Network,0.645,0.026802037
Cocitation Network,0.655,0.020801581
Cocitation Network,0.665,0.017201307
Cocitation Network,0.675,0.017201307
Cocitation Network,0.685,0.016801277
Cocitation Network,0.695,0.013601034
Cocitation Network,0.705,0.012800973
Cocitation Network,0.715,0.00960073
Cocitation Network,0.725,0.008400638
Cocitation Network,0.735,0.007600578
Cocitation Network,0.745,0.009200699
Cocitation Network,0.755,0.006800517
Cocitation Network,0.765,0.003200243
Cocitation Network,0.775,0.005200395
Cocitation Network,0.785,0.001200091
Cocitation Network,0.795,0.003200243
Cocitation Network,0.805,0.002400182
Cocitation Network,0.815,0.002800213
Cocitation Network,0.825,0.001200091
Cocitation Network,0.835,0.000800061
Cocitation Network,0.845,0.00040003
Cocitation Network,0.865,0.000800061
Cocitation Network,0.885,0.00040003
Cocitation Network,0.895,0.00040003
Cocitation Network,0.915,0.00040003
JOURNAL OF NEUROSCIENCE,0.005,48.6253268
JOURNAL OF NEUROSCIENCE,0.015,25.31850119
JOURNAL OF NEUROSCIENCE,0.025,11.06751705
JOURNAL OF NEUROSCIENCE,0.035,5.571342532
JOURNAL OF NEUROSCIENCE,0.045,3.13132352
JOURNAL OF NEUROSCIENCE,0.055,1.899875863
JOURNAL OF NEUROSCIENCE,0.065,1.213100059
JOURNAL OF NEUROSCIENCE,0.075,0.820711159
JOURNAL OF NEUROSCIENCE,0.085,0.564733587
JOURNAL OF NEUROSCIENCE,0.095,0.404578308
JOURNAL OF NEUROSCIENCE,0.105,0.291212579
JOURNAL OF NEUROSCIENCE,0.115,0.219113077
JOURNAL OF NEUROSCIENCE,0.125,0.164006794
JOURNAL OF NEUROSCIENCE,0.135,0.12627465
JOURNAL OF NEUROSCIENCE,0.145,0.100795401
JOURNAL OF NEUROSCIENCE,0.155,0.082807559
JOURNAL OF NEUROSCIENCE,0.165,0.062682339
JOURNAL OF NEUROSCIENCE,0.175,0.050958498
JOURNAL OF NEUROSCIENCE,0.185,0.042514793
JOURNAL OF NEUROSCIENCE,0.195,0.034727116
JOURNAL OF NEUROSCIENCE,0.205,0.027510817
JOURNAL OF NEUROSCIENCE,0.215,0.023384194
JOURNAL OF NEUROSCIENCE,0.225,0.020379167
JOURNAL OF NEUROSCIENCE,0.235,0.017226004
JOURNAL OF NEUROSCIENCE,0.245,0.014580733
JOURNAL OF NEUROSCIENCE,0.255,0.013861219
JOURNAL OF NEUROSCIENCE,0.265,0.010708056
JOURNAL OF NEUROSCIENCE,0.275,0.010115516
JOURNAL OF NEUROSCIENCE,0.285,0.008930434
JOURNAL OF NEUROSCIENCE,0.295,0.007237461
JOURNAL OF NEUROSCIENCE,0.305,0.006221677
JOURNAL OF NEUROSCIENCE,0.315,0.006031218
JOURNAL OF NEUROSCIENCE,0.325,0.004719163
JOURNAL OF NEUROSCIENCE,0.335,0.004253596
JOURNAL OF NEUROSCIENCE,0.345,0.003957325
JOURNAL OF NEUROSCIENCE,0.355,0.003343622
JOURNAL OF NEUROSCIENCE,0.365,0.003089676
JOURNAL OF NEUROSCIENCE,0.375,0.003047352
JOURNAL OF NEUROSCIENCE,0.385,0.002602947
JOURNAL OF NEUROSCIENCE,0.395,0.001904595
JOURNAL OF NEUROSCIENCE,0.405,0.001671811
JOURNAL OF NEUROSCIENCE,0.415,0.001354379
JOURNAL OF NEUROSCIENCE,0.425,0.001333217
JOURNAL OF NEUROSCIENCE,0.435,0.001396703
JOURNAL OF NEUROSCIENCE,0.445,0.000952298
JOURNAL OF NEUROSCIENCE,0.455,0.000804162
JOURNAL OF NEUROSCIENCE,0.465,0.001058108
JOURNAL OF NEUROSCIENCE,0.475,0.000740676
JOURNAL OF NEUROSCIENCE,0.485,0.000592541
JOURNAL OF NEUROSCIENCE,0.495,0.000507892
JOURNAL OF NEUROSCIENCE,0.505,0.000338595
JOURNAL OF NEUROSCIENCE,0.515,0.000359757
JOURNAL OF NEUROSCIENCE,0.525,0.000571379
JOURNAL OF NEUROSCIENCE,0.535,0.000253946
