Name,Bin.Center,Freq.Dist
Cocitation Network,0.005,4.091927354
Cocitation Network,0.015,4.67237379
Cocitation Network,0.025,5.162012961
Cocitation Network,0.035,5.211216897
Cocitation Network,0.045,5.163613089
Cocitation Network,0.055,4.893591487
Cocitation Network,0.065,4.587967037
Cocitation Network,0.075,4.435954876
Cocitation Network,0.085,4.11512921
Cocitation Network,0.095,3.883110649
Cocitation Network,0.105,3.684694776
Cocitation Network,0.115,3.427474198
Cocitation Network,0.125,3.238259061
Cocitation Network,0.135,3.007040563
Cocitation Network,0.145,2.83062645
Cocitation Network,0.155,2.687815025
Cocitation Network,0.165,2.435794864
Cocitation Network,0.175,2.306984559
Cocitation Network,0.185,2.174173934
Cocitation Network,0.195,1.987358989
Cocitation Network,0.205,1.796543723
Cocitation Network,0.215,1.705736459
Cocitation Network,0.225,1.599327946
Cocitation Network,0.235,1.482518601
Cocitation Network,0.245,1.386910953
Cocitation Network,0.255,1.321305704
Cocitation Network,0.265,1.159692775
Cocitation Network,0.275,1.064485159
Cocitation Network,0.285,0.984478758
Cocitation Network,0.295,0.950076006
Cocitation Network,0.305,0.864469158
Cocitation Network,0.315,0.824065925
Cocitation Network,0.325,0.762460997
Cocitation Network,0.335,0.69925594
Cocitation Network,0.345,0.666453316
Cocitation Network,0.355,0.58524682
Cocitation Network,0.365,0.56524522
Cocitation Network,0.375,0.508840707
Cocitation Network,0.385,0.487238979
Cocitation Network,0.395,0.455636451
Cocitation Network,0.405,0.423633891
Cocitation Network,0.415,0.398431875
Cocitation Network,0.425,0.378830306
Cocitation Network,0.435,0.371229698
Cocitation Network,0.445,0.32562605
Cocitation Network,0.455,0.322825826
Cocitation Network,0.465,0.282022562
Cocitation Network,0.475,0.272821826
Cocitation Network,0.485,0.262020962
Cocitation Network,0.495,0.233618689
Cocitation Network,0.505,0.216017281
Cocitation Network,0.515,0.198415873
Cocitation Network,0.525,0.210416833
Cocitation Network,0.535,0.178014241
Cocitation Network,0.545,0.156012481
Cocitation Network,0.555,0.160412833
Cocitation Network,0.565,0.143211457
Cocitation Network,0.575,0.125210017
Cocitation Network,0.585,0.116409313
Cocitation Network,0.595,0.114809185
Cocitation Network,0.605,0.120009601
Cocitation Network,0.615,0.115209217
Cocitation Network,0.625,0.102408193
Cocitation Network,0.635,0.088807105
