Cites 2012,FCR 2012,FCR 2014
1,5.72,5.48
1,9.52,12.26
1,6.03,6.02
1,0.52,4.40
1,2.23,1.63
1,5.19,4.00
1,3.32,5.68
1,9.19,8.85
1,14.27,12.72
1,7.53,7.27
1,15.38,15.23
1,22.89,20.94
1,4.32,4.61
1,10.43,11.03
1,4.32,4.28
1,7.37,7.29
1,10.90,10.90
1,4.46,5.02
1,9.20,8.35
1,7.86,7.86
1,2.58,6.67
1,6.70,6.70
1,1.32,1.20
1,4.04,4.04
1,4.84,4.57
1,5.86,5.62
1,10.60,12.76
1,3.15,2.22
1,3.45,3.50
1,8.30,9.41
1,3.55,3.41
1,4.85,6.22
1,3.27,3.60
1,2.61,2.02
1,6.60,5.92
1,4.60,5.01
1,7.39,6.72
1,4.03,2.94
1,4.92,5.39
1,2.99,2.98
1,15.00,12.62
1,10.47,10.41
1,2.58,2.39
1,2.70,4.44
1,4.29,5.09
1,6.34,6.62
1,15.15,14.64
1,8.45,9.43
1,1.57,5.57
1,3.69,4.52
1,6.25,6.62
1,15.24,14.44
1,4.46,4.14
1,7.78,6.95
1,5.06,3.36
1,3.96,3.96
1,3.55,3.41
1,4.97,5.01
1,8.20,8.10
1,5.95,5.95
1,2.87,7.47
1,13.87,13.49
1,7.71,8.12
1,13.75,17.20
1,9.19,8.63
1,8.97,9.28
1,0.85,0.85
1,11.76,10.04
1,7.12,6.81
1,4.48,4.39
1,8.08,7.62
1,2.67,3.27
1,7.27,6.92
1,4.38,3.86
1,9.59,7.70
1,7.09,7.09
1,7.13,7.69
1,1.94,7.64
1,5.12,7.79
1,1.91,2.44
1,4.94,4.18
1,3.48,2.72
1,6.07,5.68
1,4.95,3.22
1,1.28,1.28
1,4.95,4.86
1,3.46,3.26
1,2.07,1.68
1,1.94,1.47
1,1.94,4.13
1,1.45,3.54
1,3.31,3.07
1,5.08,5.18
1,13.60,12.00
1,4.93,5.06
1,6.23,7.01
1,7.85,7.44
1,1.62,7.15
1,6.14,6.16
1,5.16,6.90
1,12.38,11.90
1,13.26,12.98
1,6.46,6.01
1,4.20,3.05
1,8.76,11.64
1,5.41,6.55
1,2.64,4.14
1,9.43,10.29
1,11.95,11.13
1,8.68,8.48
1,7.21,7.92
1,5.24,3.86
1,1.97,3.96
1,0.81,1.15
1,10.27,15.92
1,8.22,8.34
1,1.86,1.86
1,3.16,6.20
1,5.92,5.02
1,2.99,1.98
1,5.48,5.73
1,5.95,5.60
1,3.24,3.07
1,5.07,4.88
1,4.19,6.07
1,4.56,4.39
1,2.20,11.69
1,5.35,5.19
1,5.09,6.93
1,7.97,7.97
1,1.76,1.85
1,15.33,13.15
1,8.46,10.67
1,8.88,8.89
1,0.94,0.94
1,2.85,2.85
