CPY,JCR_IF,FCR
0.111111111,0.886,4.4826
0.111111111,1.092,6.598130435
0.111111111,1.117,4.13
0.111111111,1.288,5.858727273
0.111111111,1.387,3.692333333
0.111111111,1.391,8.223956522
0.111111111,1.463,1.463
0.111111111,1.513,5.072892857
0.111111111,1.618,12.37654545
0.111111111,1.618,5.162
0.111111111,1.618,1.618
0.111111111,1.673,11.703125
0.111111111,1.8,6.069071429
0.111111111,1.892,15.3765942
0.111111111,1.892,10.42863636
0.111111111,1.892,7.527545455
0.111111111,1.937,1.937
0.111111111,1.944,1.944
0.111111111,1.984,4.104
0.111111111,2.006,6.253456522
0.111111111,2.086,2.0652
0.111111111,2.125,9.425243243
0.111111111,2.208,4.6424
0.111111111,2.352,3.550532138
0.111111111,2.516,8.990604651
0.111111111,2.614,2.614
0.111111111,2.882,8.7635
0.111111111,2.924,3.157
0.111111111,3.828,3.852375
0.111111111,3.922,5.569518293
0.111111111,4.148,6.650353982
0.111111111,4.22,7.775571429
0.111111111,4.337,5.094
0.111111111,6.482,12.06161538
0.111111111,6.482,7.201529412
0.111111111,6.482,5.9502
0.111111111,6.516,4.945055556
0.111111111,6.701,6.701
0.111111111,7.499,7.369082139
0.111111111,8.427,9.193138889
0.111111111,18.153,11.88066667
0.125,0.876,22.90547059
0.125,0.99,6.39036
0.125,1.012,9.599285714
0.125,1.097,8.358461538
0.125,1.395,3.033714286
0.125,1.438,8.5011
0.125,1.47,3.8699
0.125,1.576,7.142604839
0.125,1.576,6.888958333
0.125,1.667,2.922
0.125,1.669,5.508333333
0.125,1.815,1.815
0.125,1.829,1.6935
0.125,1.894,6.579263158
0.125,2.044,5.5766
0.125,2.158,2.85675
0.125,2.547,4.1946
0.125,2.9,7.711166667
0.125,2.904,4.399760684
0.125,2.935,3.3335
0.125,3.071,12.98437097
0.125,3.093,4.002571429
0.125,3.122,4.9266875
0.125,3.146,3.8905
0.125,3.17,10.58666667
0.125,3.21,3.583842105
0.125,3.226,6.843772727
0.125,3.245,7.492262295
0.125,3.456,4.9042
0.125,3.468,3.468
0.125,3.543,9.209714286
0.125,3.55,8.30135443
0.125,3.617,3.617
0.125,3.653,5.1354
0.125,4.008,7.229421053
0.125,4.033,8.33575
0.125,4.065,6.605784314
0.125,5.45,4.191909091
0.125,6.355,12.28277143
0.125,6.355,10.55509524
0.125,6.601,8.298971831
0.125,6.903,6.595200795
0.125,8.848,8.261920621
0.125,12.563,11.9245
0.125,12.563,11.24079412
0.125,12.563,5.957357143
0.125,13.868,7.506292805
0.142857143,0.505,10.47213333
0.142857143,0.561,9.621961538
0.142857143,0.635,19.48903125
0.142857143,1.043,5.9519
0.142857143,1.066,2.892125
0.142857143,1.308,8.133115385
0.142857143,1.375,4.607333333
0.142857143,1.741,1.741
0.142857143,1.769,6.445889571
0.142857143,1.898,3.550714286
0.142857143,1.933,3.441100166
0.142857143,1.971,4.182714286
0.142857143,1.971,3.383111111
0.142857143,2.035,5.831894737
0.142857143,2.104,2.497333333
0.142857143,2.183,4.467869565
0.142857143,2.209,2.209
0.142857143,2.239,1.971571429
0.142857143,2.296,5.529090909
0.142857143,2.296,2.296
0.142857143,2.393,2.620333333
0.142857143,2.425,4.874266667
0.142857143,2.47,2.8915
