RCR,F1000Total
1.605013904,5
0.869787746,1
1.561292305,2
0.822965166,2
0.551613235,1
3.934772868,2
5.211319256,6
1.604927216,2
7.708873301,9
5.479900573,4
2.167242942,2
1.419396349,2
2.536226428,2
7.763690033,17
0.890914136,1
0.815442234,1
1.54570158,1
2.011643546,2
0.629594558,1
4.569713754,1
2.856018943,1
0.89391384,4
0.617996768,1
1.837394777,1
1.508844015,4
1.594735599,1
2.201881732,1
0.188147849,2
2.878433345,4
30.73454363,1
0.452311528,1
0.602706276,2
0.982753173,2
1.477959877,2
1.838877071,2
0.467512799,4
3.364129456,1
8.812873245,10
0.599366145,1
0.358792203,3
1.299627797,1
1.766942965,1
2.442760917,2
1.176113064,2
2.848289745,3
1.178062122,1
0.233719345,2
0.904893588,1
0.594056313,1
1.62197815,1
2.904774119,2
1.365943654,1
10.8043915,6
1.170605324,1
1.417342445,1
0.860994056,2
0.64314024,2
1.017568621,2
0.335606973,1
14.29075995,2
1.162625261,3
1.258622804,2
1.760126224,1
0.655437156,1
1.340437336,2
4.370168496,2
1.174461878,1
0.405453091,1
0.909273932,6
1.760777931,1
0.607641201,2
0.264351441,2
0.663078645,2
1.682250268,2
1.057387834,2
3.08882833,4
0.537267494,1
1.60191267,1
0.948774262,2
4.696193872,3
1.9978706,1
0.88557386,3
1.107402548,1
0.733979666,2
3.501338113,3
2.423623568,1
1.380803704,2
1.507718841,2
1.767136243,6
1.746551025,1
2.948700576,3
0.211051139,1
1.233995595,1
0.975805454,1
14.12000661,1
0.355810803,1
0.431998936,2
1.768066487,4
0.873020475,3
0.79050463,1
2.426333642,2
1.145499075,1
0.996406325,2
2.116920469,1
1.989244798,2
1.593339546,1
3.701644285,1
1.002102098,8
1.37119958,1
0.674371274,1
3.387659018,2
2.958398968,1
0.867301463,1
0.975970104,2
2.242854086,1
2.749701117,1
1.181380693,1
1.151719817,3
6.774059769,3
0.739161659,1
0.325800238,1
1.414631195,1
3.527110357,1
0.397277771,2
0.411341064,1
1.527277036,1
1.383551715,1
1.054710544,2
2.153438474,2
0.728586531,3
9.314598713,5
1.629616733,1
1.579650607,3
1.437866482,1
1.153974884,1
4.793888147,6
0.936489615,2
1.586608228,5
0.60069992,1
1.328925775,3
2.026909874,6
0,2
1.843407903,1
13.985794,5
0.849493538,3
1.297103412,2
2.730396261,2
7.081519025,1
1.971897762,3
1.798964307,6
0.788123148,2
0.830310194,1
15.28460294,3
3.420884702,1
1.556651822,1
1.12926548,4
1.55859054,1
1.023782918,1
0.657111518,2
1.052597022,2
2.683268088,3
4.766505527,3
0.737912897,6
0.85968778,1
0.741161567,3
0.101791776,1
0.572076302,1
2.650255738,1
2.570802148,1
1.206754099,1
1.21068343,1
6.934502717,1
1.705211079,1
2.615766977,1
0.972917903,1
1.872392894,3
1.237695034,2
0.908317126,2
1.470642809,4
0.601530244,1
0.487538282,1
3.042996651,1
3.002201976,2
3.017875104,2
0.696127098,2
1.262760794,1
1.618209583,3
2.614662258,4
1.296660571,1
0.41564739,4
1.67711901,1
0.375664157,1
1.233210075,1
1.584127283,3
0.877225433,1
1.398521135,2
0.884834077,1
0.66321201,1
1.331604073,5
1.056013236,1
0.105658718,1
3.099140906,1
2.156944542,1
0.541719659,2
0.942079072,2
0.737395949,2
0.776884585,1
1.659408669,2
0.580751426,1
1.600291604,3
0.613204867,1
1.206558966,1
1.366825197,2
0.353081002,1
0.606584173,1
