PubMed ID,Total Citations,Citations per Year,Expected Citations per Year,Field Citation Rate,Relative Citation Ratio,NIH Percentile,Year,Title,Authors,Journal,Article?
19415691,49,11.93,3.71,4.67,3.22,86.9,2010,"Linear clinical progression, independent of age of onset, in Niemann-Pick disease, type C.","Yanjanin, Nicole M; Vélez, Jorge I; Gropman, Andrea; King, Kelly; Bianconi, Simona E; Conley, Sandra K; Brewer, Carmen C; Solomon, Beth; Pavan, William J; Arcos-Burgos, Mauricio; Patterson, Marc C; Porter, Forbes D",Am. J. Med. Genet. B Neuropsychiatr. Genet.,TRUE
19517422,44,10.71,3.72,4.70,2.88,84.6,2010,Plasmonic nanoprobes for SERS biosensing and bioimaging.,"Vo-Dinh, Tuan; Wang, Hsin-Neng; Scaffidi, Jonathan",J Biophotonics,FALSE
19696751,27,6.57,5.17,7.61,1.27,59,2010,Admixture mapping of obesity-related traits in African Americans: the Atherosclerosis Risk in Communities (ARIC) Study.,"Cheng, Ching-Yu; Reich, David; Coresh, Josef; Boerwinkle, Eric; Patterson, Nick; Li, Man; North, Kari E; Tandon, Arti; Bailey-Wilson, Joan E; Wilson, James G; Kao, W H Linda",Obesity (Silver Spring),TRUE
19731376,6,1.46,5.39,8.05,0.27,13.9,2010,The energetics of the acetylation switch in p53-mediated transcriptional activation.,"Eichenbaum, Kenneth D; Rodríguez, Yoel; Mezei, Mihaly; Osman, Roman",Proteins,TRUE
19801719,24,5.84,4.45,6.15,1.31,60.3,2010,Green technologies for room temperature nucleic acid storage.,"Wan, Eunice; Akana, Matthew; Pons, Jennifer; Chen, Justin; Musone, Stacy; Kwok, Pui-Yan; Liao, Wilson",Curr Issues Mol Biol,TRUE
19854023,11,2.68,3.15,3.56,0.85,44,2010,The role of numeracy on client knowledge in BRCA genetic counseling.,"Portnoy, David B; Roter, Debra; Erby, Lori H",Patient Educ Couns,TRUE
19908840,70,17.04,4.21,5.69,4.04,90.9,2010,"Quantitative analyses of aggregation, autofluorescence, and reactivity artifacts in a screen for inhibitors of a thiol protease.","Jadhav, Ajit; Ferreira, Rafaela S; Klumpp, Carleen; Mott, Bryan T; Austin, Christopher P; Inglese, James; Thomas, Craig J; Maloney, David J; Shoichet, Brian K; Simeonov, Anton",J. Med. Chem.,TRUE
19955211,86,20.93,6.46,10.20,3.24,87,2010,Genomic study of replication initiation in human chromosomes reveals the influence of transcription regulation and chromatin structure on origin selection.,"Karnani, Neerja; Taylor, Christopher M; Malhotra, Ankit; Dutta, Anindya",Mol. Biol. Cell,TRUE
19996087,122,29.69,6.57,10.41,4.52,92.4,2010,Drosophila ORC localizes to open chromatin and marks sites of cohesin complex loading.,"MacAlpine, Heather K; Gordân, Raluca; Powell, Sara K; Hartemink, Alexander J; MacAlpine, David M",Genome Res.,TRUE
20020477,33,8.03,4.14,5.53,1.94,73.9,2010,Proteomics enhances evolutionary and functional analysis of reproductive proteins.,"Findlay, Geoffrey D; Swanson, Willie J",Bioessays,FALSE
20023643,24,5.84,3.87,4.99,1.51,65.4,2010,Colloidal lenses allow high-temperature single-molecule imaging and improve fluorophore photostability.,"Schwartz, Jerrod J; Stavrakis, Stavros; Quake, Stephen R",Nat Nanotechnol,TRUE
20023645,149,36.26,4.45,6.16,8.15,97.4,2010,Electrostatic focusing of unlabelled DNA into nanoscale pores using a salt gradient.,"Wanunu, Meni; Morrison, Will; Rabin, Yitzhak; Grosberg, Alexander Y; Meller, Amit",Nat Nanotechnol,TRUE
20026024,5,1.22,5.47,8.20,0.22,11.2,2010,hunchback and Ikaros-like zinc finger genes control reproductive system development in Caenorhabditis elegans.,"Large, Edward E; Mathies, Laura D",Dev. Biol.,TRUE
