LogOfMeanRCR03-06,LogOfMeanRCR07-10
-0.071468125,-0.360405182
-0.2047384,-0.497935962
-0.248273259,-0.149241077
-0.055360669,-0.298865699
-0.112109428,-0.28669494
-0.288588024,-0.400987189
-0.115316493,0.479741663
-0.003947416,0.183054207
-0.075660989,-0.112208917
0.21540763,0.273854193
-0.272724701,-0.365307982
0.412743775,0.097433058
-0.070497449,0.021776269
-0.491075326,-0.101700961
0.428819079,-0.32850442
-0.113196896,-0.227397498
-0.158178062,-0.01691293
-0.014558382,-0.023825462
0.013548079,-0.008081796
-0.188480048,-0.293639483
-0.30281831,-0.455238164
-0.134984936,0.025613382
-0.390523568,-0.282798341
0.003350109,0.012788528
-0.110459471,-0.008465483
-0.005733624,-0.018262589
0.052637365,-0.038961355
-0.008340857,0.106050931
-0.350594401,-0.394815754
-0.14541234,-0.179776786
0.106772063,-0.26166609
-0.14058009,-0.028834683
0.082693736,-0.010164965
-0.056118883,0.168472191
-0.249135536,-0.375636026
0.051569039,-0.137463891
-0.080318195,0.099974355
-0.134727336,0.057203433
-0.555162289,-0.13894432
0.345783887,0.08345458
-0.364967827,-0.446738486
-0.391677552,-0.326440868
-0.418764484,-0.431852028
0.011072246,0.10315576
-0.178486794,-0.427492354
-0.204709186,-0.406594725
-0.09791491,0.084436638
-0.084476668,-0.275522445
0.040747631,-0.305143619
0.00698969,-0.050653767
-0.039706473,-0.156488227
0.243072594,0.290561481
-0.265129443,-0.134431637
-0.093772111,0.137341558
-0.179385845,-0.13463007
0.28883598,0.261249991
-0.295070198,-0.158020741
0.312666923,0.129190756
-0.08680634,-0.328972848
-0.093835132,-0.378508908
-0.19768699,-0.325099654
0.052523142,0.137242369
0.230413538,0.078237654
0.102610364,-0.034073018
0.428559778,0.180400255
-0.345057309,-0.218461218
0.165578458,-0.021998338
0.082520834,-0.144990238
-0.091280902,-0.152552512
-0.35569597,0.105787312
0.024265258,0.066277856
0.29752183,-0.003116937
-0.085745754,-0.258072845
0.136728635,0.353526274
-0.624867227,-0.557021938
-0.157417226,-0.397310588
-0.121097998,-0.049418855
-0.091249865,-0.351770086
0.037571588,0.242700914
-0.060776955,0.074011674
-0.158889192,-0.204116522
0.048170071,0.006122823
-0.084391975,-0.118002125
0.359534234,0.203429333
-0.567609817,-0.811110701
-0.286990434,-0.228950891
0.140419743,0.135357318
0.243310578,-0.092138717
0.066335297,0.14060137
-0.593596417,-0.570084616
0.039266376,-0.17576418
-0.194492184,-0.346174992
-0.144058543,-0.133966289
-0.162866983,-0.17031946
-0.27331679,-0.41237733
-0.17010262,-0.193936388
-0.256229132,-0.253911257
-0.008102135,0.035370669
-0.30166605,-0.62551166
0.001036436,0.04471733
-0.212720479,0.033813164
-0.553476195,-0.447588535
-0.236983138,-0.402644064
-0.008640495,-0.051858286
0.011314029,-0.274871665
-0.091039815,-0.170991254
0.125509146,0.091596942
-0.127767364,-0.083933823
-0.149290344,-0.035063269
-0.110039766,-0.222193383
-0.129154207,-0.240278347
-0.026079229,-0.094518844
