RCR (log) First Interval,d(logRCR),d(logRCR Randomized)
0.050233,-0.06769,-0.35334
-0.29627,0.35125,0.866192
-0.28339,0.197964,0.501114
-0.14991,0.205513,0.199917
-0.07403,0.114089,-0.1237
-0.14608,0.125947,-0.38461
-0.08433,-0.29227,0.282994
-0.35296,0.155425,0.173397
-0.09478,0.15512,-0.12438
0.166253,0.489481,-0.33885
0.032455,-0.22175,-0.20975
0.069727,0.191258,-0.01773
-0.0081,-0.01627,-0.14635
-0.23936,-0.06776,0.264364
-0.16058,-0.09109,-0.00463
0.085479,-0.13917,-0.09847
-0.1551,-0.01011,0.008723
0.124402,-0.1153,-0.28513
0.007577,-0.06906,-0.3806
-0.00579,0.015672,0.182898
-0.02122,-0.1976,-0.48223
-0.03078,-0.01972,0.015408
-0.08321,0.200344,0.323454
-0.02712,0.131705,0.008549
-0.15218,0.092665,0.024785
0.291598,-0.30648,-0.65083
0.311707,-0.26018,-0.29542
-0.11994,0.053108,0.39013
0.491444,-0.23639,-0.64162
-0.04285,-0.18185,-0.31991
-0.11851,0.003176,0.05014
-0.30836,0.371389,0.58174
0.125509,-0.03391,0.088701
-0.23784,-0.09896,0.01318
0.33958,-0.05985,-0.65514
0.154233,-0.08599,-0.2919
-0.49837,0.013774,0.202339
0.260543,-0.09261,-0.50437
-0.19469,0.058716,0.332655
-0.06056,-0.37552,-0.07062
-0.07117,0.028746,0.318574
-0.23756,0.105524,0.641406
-0.10236,-0.15997,0.267122
0.246021,-0.14314,0.144941
-0.37815,0.072584,0.789591
-0.22963,-0.06613,0.125506
-0.1438,-0.01693,-0.08682
0.115078,-0.3502,0.289854
0.127514,-0.20257,-0.52482
0.030217,-0.04105,0.36037
-0.0107,-0.22588,-0.01094
0.158729,-0.09448,-0.29222
0.241795,-0.23928,0.168744
0.196757,-0.02829,0.19764
0.156962,-0.1166,0.088424
0.117131,-0.05258,-0.33643
0.231375,-0.08237,-0.89548
0.039455,-0.16764,0.022109
-0.14142,-0.0095,-0.34042
-0.00334,-0.11015,0.304821
-0.15554,-0.07322,-0.40148
0.182011,-0.02269,-0.32004
0.054352,-0.28497,-0.27169
-0.20225,-0.06526,0.135973
0.363012,0.141856,0.015058
0.312823,-0.37594,-0.54793
-0.25428,0.038133,0.292044
-0.2143,0.1661,0.232807
-0.02621,-0.28794,0.107407
0.16744,-0.27217,0.142808
-0.29796,-0.07433,0.023087
0.135932,0.02667,-0.15393
0.093771,-0.08575,0.438712
0.113167,-0.04802,-0.16717
-0.21632,0.062787,-0.01474
0.013796,0.02029,-0.10091
-0.02754,-0.15294,-0.2063
0.376025,-0.06455,-0.6553
0.111419,-0.25547,0.158495
-0.1347,-0.1244,0.068565
0.263323,-0.15063,-0.6748
-0.17705,-0.10568,0.232657
-0.13269,-0.04876,0.153354
-0.32611,-0.05838,0.298528
-0.29367,0.27697,0.58922
0.496354,-0.34108,-0.38155
-0.13101,-0.17943,0.162746
-0.00332,0.062158,-0.01081
-0.45332,0.092184,0.33055
-0.42015,0.341022,0.397791
-0.20085,0.06596,0.063786
-0.31217,0.042576,0.324854
0.60862,-0.40996,-0.65296
0.057944,0.106654,-0.15404
0.084622,-0.10482,-0.24934
0.013526,-0.15703,-0.14704
-0.22226,0.184822,0.347601
0.061671,-0.09736,-0.46468
-0.19488,-0.04922,0.488232
-0.17129,0.10966,0.037624
-0.20174,-0.08944,0.494174
0.012694,-0.13198,0.145142
-0.21514,0.032208,-0.21807
-0.11381,-0.09238,-0.02376
-0.4472,0.242847,0.38016
0.006546,-0.08538,-0.21924
0.152338,-0.11844,0.016472
0.325926,-0.59312,-0.29907
-0.17094,-0.17006,0.074249
0.043456,-0.07111,-0.23701
-0.1825,-0.06133,0.132497
0.123666,-0.10792,-0.1195
0.211037,-0.34429,-0.12184
0.19649,-0.09171,0.066374
-0.00548,-0.46708,-0.34057
0.07482,-0.19244,-0.03525
0.075639,-0.3277,-0.11059
