MeanScore,RCR,LogRCR
2.25,0.77878328,-0.108583381
3.25,1.522627019,0.182593532
1,0.335550466,-0.474242154
1.666666667,0.255679043,-0.592304868
2.8,0.931424706,-0.030852247
4,2.449605404,0.389096131
1.5,0.188123726,-0.725556428
3,0.26252793,-0.580824486
4.5,0.684567849,-0.164583502
2,0.236976772,-0.62529422
4,5.174673997,0.713882995
3.5,0.233792554,-0.631169324
2.5,0.322618472,-0.49131077
2.5,0.414367345,-0.382614478
2,0.703599788,-0.1526743
2.666666667,1.037633833,0.016044124
2.5,0.094181344,-1.026035116
2.5,0.248248274,-0.605113763
2.5,2.540804015,0.404971167
2.333333333,0.859650408,-0.065678126
4,1.667609264,0.222094299
2.5,0.099247452,-1.003280634
3.5,3.341688581,0.523965975
2.5,0.198281153,-0.702718564
4.333333333,1.288655891,0.110136963
1.5,0.105888407,-0.975151585
2.25,0.192238343,-0.716159986
2.666666667,0.121616859,-0.915006217
2.666666667,0.981639175,-0.008048118
3.25,0.814361483,-0.089182775
2.666666667,0.447152778,-0.349544066
2,1.411519975,0.149687028
2,0.609704291,-0.214880749
2.333333333,0.202534315,-0.693501385
3.333333333,0.147895102,-0.830046207
2.5,1.488066175,0.172622245
4.2,10.64107871,1.026985656
3,0.147354644,-0.831636171
3,1.629637703,0.212091064
3.333333333,3.363923673,0.526846133
2,0.526090263,-0.278939736
2,0.760256373,-0.119039931
3.5,2.091683372,0.320495944
4,2.261253744,0.354349299
2,0.227837388,-0.642375007
3.25,0.409806673,-0.387420974
2.5,0.596910953,-0.224090452
3,3.603353901,0.556706918
4,2.168140591,0.33608744
3.666666667,1.641954941,0.215361235
3,7.708873301,0.886990908
4,4.486013747,0.6518606
3,0.215243083,-0.667070797
2,0.9987732,-0.000533119
2.5,1.001240858,0.000538564
4,3.01965524,0.479957362
2.5,0.803460155,-0.095035656
1.5,1.427511542,0.154579628
1,0.693317675,-0.159067728
3.5,4.309040441,0.63438057
3.666666667,2.300194975,0.36176465
3.5,2.075036367,0.317025713
3.5,2.938351259,0.468103711
2.5,0.525838277,-0.279147804
4.333333333,2.669430777,0.426418663
3.5,1.712198159,0.233554026
4,0.152194865,-0.817600002
3,2.834479618,0.452473338
3,3.861342318,0.586738305
2,0.157881836,-0.801667832
2,0.331046977,-0.480110373
3.666666667,1.438275604,0.157842114
2.333333333,0.102059082,-0.99114834
4,4.316468394,0.635128565
3.6,1.805070113,0.256494076
2.5,2.813699826,0.449277764
3,0.605960164,-0.217555925
3,3.396459149,0.531026395
3.5,1.247714494,0.09611522
2.666666667,0.053158129,-1.274430316
3.333333333,0.711620963,-0.147751267
2.5,0.912818124,-0.039615746
2.25,0.200252596,-0.698421846
2,0.714410641,-0.146052085
2.5,0.200112325,-0.698726162
3,0.364720356,-0.438039997
4.5,4.109857979,0.613826815
3,0.331292487,-0.479788413
2,0.972008887,-0.012329764
2.333333333,0.153989076,-0.812510088
4,2.18984588,0.340413551
3,2.934348147,0.46751164
2,1.766653546,0.247151389
3.333333333,0.122513346,-0.911816599
3.333333333,3.038716778,0.482690224
3.666666667,1.635514355,0.21365436
2.5,0.435613277,-0.360898892
3.5,7.749179813,0.889255738
4,2.151980809,0.332838394
2.5,0.930765984,-0.031159497
3,0.158122286,-0.801006914
2.5,0.446194787,-0.350475508
3.5,0.468079708,-0.329680186
3.5,3.305398924,0.519223881
3.666666667,3.010780657,0.478679117
1.5,0.409204744,-0.38805934
3,0.587163218,-0.231241158
3,0.63528591,-0.197030777
4.333333333,4.41814134,0.645239605
2,0.483625866,-0.31549048
3.5,1.371886473,0.137318174
3.5,0.64760558,-0.188689418
2.6,0.434147047,-0.362363149
3,1.108504794,0.044737576
3.5,1.532379495,0.185366332
3.5,1.348449476,0.129834679
2.333333333,1.568247102,0.195414494
4.75,14.29075995,1.155055324
1.333333333,0.113156225,-0.94632155
4,1.440770578,0.158594831
2.666666667,0.497147929,-0.303514366
1.666666667,1.238711753,0.092970258
3.5,0.766116646,-0.115705101
2.5,0.203677669,-0.691056584
2.666666667,1.586608228,0.200469702
2.333333333,0.177905744,-0.74981003
2.5,0.298507861,-0.525044228
4,7.130422783,0.853115281
4,5.379134134,0.730712374
2,0.14453967,-0.840012941
3,0.41536493,-0.381570174
2,0.047396391,-1.324254722
2,1.782684614,0.251074516
4,9.869561851,0.994297873
4,0.607522568,-0.216437584
4.5,6.597387775,0.819372011
3,3.256213244,0.512712838
4,1.593874372,0.202454088
