MeanScore,RCR,LogRCR
3,1.02918078,0.012491667
4,1.60570001,0.20566441
1.333333333,0.714417286,-0.146048046
2.666666667,0.21292214,-0.671779178
3.666666667,3.902261184,0.591316334
2.25,1.880758205,0.274332965
3.666666667,1.988806863,0.29859261
2,0.499829153,-0.301178417
2.75,2.207450263,0.343890927
2.666666667,2.024443312,0.30630562
2.333333333,1.142838363,0.05798481
3,3.789435919,0.578574567
2,0.705009812,-0.151804839
2,0.299361222,-0.523804457
1.333333333,0.69678601,-0.156900578
1.25,1.772289058,0.248534556
2.333333333,1.969385022,0.294330631
1.333333333,1.662442525,0.22074664
2.333333333,1.121768249,0.049903143
2.666666667,0.959491961,-0.01795866
1.25,0.307305051,-0.512430301
1.333333333,1.50039799,0.176206474
2.333333333,0.356382162,-0.448084042
3.333333333,1.815059278,0.258890813
2.666666667,3.851125682,0.585587692
2,0.431998936,-0.364517323
1.75,2.69970797,0.431316789
3,0.951892883,-0.02141192
2,13.95220831,1.144642952
2,0.90336665,-0.044135947
1.75,3.463039715,0.539457472
2.333333333,1.841746676,0.265229895
1.666666667,0.449771432,-0.347008133
3.333333333,1.753766306,0.243971722
3.666666667,3.3019338,0.518768362
3,1.960853127,0.292445065
4,0.448919884,-0.347831158
3.333333333,3.147199289,0.497924244
1.333333333,1.649556342,0.217367154
3.333333333,7.215939263,0.858292869
2.666666667,1.23875084,0.092983962
3.333333333,5.146502681,0.711512203
3.333333333,3.594995698,0.555698375
0.666666667,0.104560594,-0.980631958
2,4.282744657,0.631722182
2.5,2.440308951,0.387444813
1.666666667,2.33906328,0.369041971
3.666666667,1.793142303,0.253614756
3.666666667,5.215432323,0.717290314
1.666666667,0.210598581,-0.676544559
1,2.749222273,0.439209854
1,0.361484416,-0.441910421
2.333333333,0.618541606,-0.208631082
3,1.004537666,0.001966226
2.666666667,1.295770706,0.112528157
2.666666667,5.02929126,0.701506788
3.666666667,1.121077759,0.049635737
2.333333333,2.580932774,0.411776693
3.75,3.198488676,0.504944817
2.666666667,7.054231624,0.848449716
2.666666667,0.417737098,-0.379096955
2.666666667,0.608122505,-0.216008924
3,1.115701805,0.047548136
3.5,14.86151382,1.17206305
2.333333333,0.088996094,-1.050629054
2.666666667,0.894059607,-0.048633526
1.666666667,0.529678583,-0.275987587
3.666666667,4.957247119,0.695240569
3,3.898662727,0.590915666
2.333333333,0.702632536,-0.153271744
3,2.659075293,0.424730635
2,2.17417205,0.337293908
1.666666667,2.898414481,0.462160491
3,7.182150954,0.856254529
1.333333333,1.384337306,0.141241923
2.666666667,0.907948094,-0.041938979
1,0.592600123,-0.227238263
4,1.868874302,0.271580092
3.333333333,1.722755318,0.236223599
0.75,0.341318632,-0.466840004
1.666666667,0.444681014,-0.351951413
2.333333333,2.414009264,0.382738932
2.333333333,2.294521642,0.360692158
1.666666667,0.676746862,-0.169573749
3,0.985183767,-0.006482753
3.333333333,1.744471761,0.241663944
3.666666667,3.533641454,0.548222481
1.333333333,4.405993798,0.644043881
2.666666667,2.063003867,0.314500042
1,0.206929319,-0.684177972
2.666666667,26.78506583,1.427892718
2.666666667,9.330111037,0.969886812
1.333333333,0.401701146,-0.396096929
3,3.183504831,0.502905513
1.666666667,0.706091635,-0.151138934
2.666666667,0.370728948,-0.430943501
1.333333333,0.83919595,-0.076136621
2.666666667,0.439322363,-0.357216689
1.333333333,1.89193051,0.276905181
1.333333333,0.781491022,-0.107076007
2.25,1.463858827,0.165499196
2.666666667,2.758422392,0.44066077
3.333333333,0.964337208,-0.015771076
1.5,0.52999876,-0.275725146
2,1.992007046,0.29929087
1.333333333,0.274583495,-0.561325571
2,0.751901201,-0.123839221
1.75,1.385254092,0.141529442
1.666666667,1.164802904,0.066252445
2.333333333,0.78893552,-0.10295849
3.666666667,2.26794751,0.355632999
3,5.150533372,0.711852205
2.666666667,1.541018209,0.18780777
2,1.120713823,0.049494729
3,1.908932906,0.280790664
1.333333333,0.372310585,-0.429094616
2,1.374505436,0.138146462
2.333333333,0.498049015,-0.302727914
3,1.057387824,0.024234305
3,1.066775563,0.028073059
3.666666667,3.742436223,0.573154408
2.666666667,7.47032961,0.873339764
2,0.271050203,-0.566950263
2.666666667,2.38655385,0.377771238
0.666666667,0.145382115,-0.837489017
3.666666667,3.385188979,0.529582918
2.333333333,0.677067631,-0.169367948
2.5,2.378993091,0.376393181
4,10.82288861,1.034343189
