JCR Cell Biology,JCR Psychopathol. & Dev. Disabilities,ACR Cell Biology,ACR Psychopathol. & Dev. Disabilities,RCR Cell Biology,RCR Psychopathol. & Dev. Disabilities
0.645,2.094,1.4,0.6,0.234676,0.246547
1.848,3.179,1.8,2.2,0.333873,0.355082
5.854,3.782,4.2,7.8,0.518351,1.66387
5.854,3.782,3.4,1.4,0.410811,0.308601
5.854,1.783,1.6,3.2,0.21842,0.630307
5.854,1.783,7.2,7.6,1.015532,1.511807
5.854,1.783,9.2,1.6,1.234817,0.371824
5.854,1.783,8,0.6,1.086996,0.132241
11.092,1.752,14.4,1.2,1.785943,0.233948
2.628,1.752,3.2,1,0.528266,0.246579
4.23,1.146,5.4,0.4,0.826981,0.118632
4.23,2.338,7.2,5,1.122181,1.170031
3.002,2.47,0.8,3.8,0.100761,0.752069
5.287,2.14,1,1.8,0.11185,0.466094
1.731,2.14,2.2,2.4,0.339107,0.650891
1.731,3.175,6.4,3.8,0.987913,0.871751
23.545,3.175,32.6,1.8,4.208382,0.425114
21.696,3.175,25.8,0.8,3.92446,0.165881
1,3.175,4.2,6,0.680448,1.39108
2.578,3.175,2.8,7.4,0.546749,1.609272
2.984,2.244,3.4,5.4,0.544271,1.01763
2.984,2.244,2,3.2,0.317054,0.58476
4.657,1.6,1,2.4,0.150589,0.550347
4.333,1.6,1,4.2,0.167475,1.039525
2.749,1.6,8,6.4,0.82913,1.351072
2.749,1.6,1,3.4,0.171381,0.869227
2.749,1.282,4.8,0.6,0.640218,0.159282
2.749,3.102,3,0.8,0.425145,0.184675
3.368,2.44,2.4,5.6,0.343008,0.99366
3.368,2.44,3.6,3.6,0.636975,0.702358
3.368,2.44,2.8,6.8,0.536065,1.202797
3.368,4.224,2,7.8,0.372158,1.376343
3.368,4.224,2,1.8,0.499056,0.276009
3.368,4.224,6.4,10,1.022462,1.643463
2.899,4.224,1.8,1.8,0.379789,0.373882
4.627,4.226,13.2,4,1.857119,0.582027
2.759,1.636,1.8,0.4,0.233664,0.111574
10.896,1.636,6,5.8,0.76126,1.524604
3.493,1.636,0.6,3.4,0.091804,0.715172
5.059,1.636,3.2,2,0.497421,0.454213
3.092,1.636,1.8,1.6,0.230085,0.325488
4.091,4.138,3.2,4.6,0.403644,0.948066
4.18,3.661,2,4.2,0.278408,0.699041
4.635,3.489,2.8,6.6,0.318375,1.414612
7.672,1.018,14.4,2.8,2.130786,0.976101
7.672,5.287,3.4,5.6,0.373904,1.270105
29.887,2.929,65.8,2.8,7.52771,0.600964
29.887,2.929,12.6,2.6,1.567536,0.646718
29.887,2.929,6.6,3.2,0.893695,0.71525
29.887,2.346,38,6.6,5.236554,1.970693
29.887,1.731,12.4,14.2,1.575512,2.54065
29.887,1.731,15.4,0.6,2.115531,0.080581
29.887,1.731,17.2,8,2.124482,1.227003
29.887,11.567,10.2,23.6,1.248069,4.634531
29.887,26.077,70.2,17.8,8.826156,3.191412
29.887,1.929,13.2,2.8,1.360937,0.49494
29.887,2.201,3.6,5.2,0.48739,1.124419
29.887,2.201,36,3.4,4.663696,0.772402
29.887,2.201,32.2,1.8,4.330185,0.372852
4.338,15.976,1.4,19.4,0.216854,3.705178
4.338,15.976,2,6.2,0.272869,1.138281
4.338,15.976,2,4.4,0.262041,0.760821
3.314,3.725,10.4,5.6,1.677503,1.139518
8.254,3.725,3,4.6,0.469075,0.969263
8.254,3.725,10.6,1,1.577473,0.221411
8.254,1.717,9.8,1.6,1.420341,0.341857
8.254,1.591,0.8,1.2,0.11371,0.503331
2.542,0.963,2,2,0.274088,0.572857
2.853,0.963,6.8,1.4,0.941312,0.280007
5.239,2.883,3.8,5.6,0.62878,1.057632
4.147,2.883,6.4,12.6,0.921364,1.850516
3.446,2.883,5.2,0.4,0.918882,0.105385
12.755,2.883,7.6,4,0.947466,0.872837
9.721,2.883,1.2,0.8,0.168566,0.195173
3.37,2.883,1.6,3.6,0.254874,0.798584
10.539,1.033,11.4,0,1.111561,0
10.539,3.6,12.2,6,1.597457,1.308123
10.539,2.626,12.2,3.6,1.218939,0.696404
10.539,2.626,0.4,3.8,0.061539,0.818179
1.443,2.626,2.2,1,0.381013,0.242834
1.443,2.626,1.6,1.6,0.325959,0.356986
4.455,2.626,3.4,2,0.533662,0.51319
7.37,2.626,3.2,1.8,0.36002,0.356766
13.444,2.626,13.2,9.4,1.71153,1.804084
2.93,2.626,17,3,3.118008,0.57884
10.15,0.762,4.8,0.8,0.491037,0.162397
9.189,2.389,10.4,5.2,1.236263,1.095281
10.15,2.389,13.4,1.2,1.623403,0.30371
7.293,2.389,5.6,2,0.858872,0.485746
7.293,2.389,2.4,0.6,0.330179,0.17425
7.293,2.389,5,2,0.626997,0.398954
7.293,2.389,3,1,0.323282,0.18016
7.293,1.684,4.2,0.2,0.523004,0.053603
7.293,1.684,21.2,0.4,2.71533,0.160158
7.293,1.684,0.8,2.2,0.089852,0.585826
7.293,1.684,12.8,2.4,1.347327,0.55801
7.293,1.684,5,1,0.624102,0.204432
7.293,4.006,3,10.4,0.453232,2.016903
7.293,8.456,5.2,7.4,0.700686,1.450893
2.068,8.456,0.6,2.8,0.088013,0.476524
2.068,8.456,5.6,3,0.761986,0.532068
1.908,8.456,8.6,1.8,1.036625,0.389991
4.714,8.456,10.4,7.2,1.137461,1.499661
4.714,8.456,6.2,4.4,0.859022,0.759165
4.714,8.456,1.8,11.6,0.251152,2.078584
4.714,8.456,1.2,1.8,0.111812,0.346738
4.714,8.456,4.6,7.6,0.673887,1.576422
4.714,8.456,1,3.2,0.093488,0.668377
4.714,8.456,6.4,2.4,0.668802,0.496423
4.714,8.456,2.4,0.2,0.303039,0.056622
4.714,8.456,2,12,0.263221,2.354164
4.714,8.456,5,3.4,0.706113,0.615447
4.714,8.456,1.4,2,0.179533,0.363084
4.714,2.715,2.4,0.2,0.237103,0.038865
12.436,2.715,20,1,2.047925,0.233844
12.436,2.715,12.4,5.2,1.371471,1.096388
12.436,4.442,7.4,1.4,0.870375,0.295117
12.436,4.442,38.2,4,4.748342,0.78865
3.084,4.442,8.2,5.6,0.927133,1.156502
3.084,4.442,2.8,8.2,0.40409,1.72418
3.084,5.059,0.6,3.4,0.104187,0.516737
3.084,8.568,1.2,12,0.219168,2.433059
3.084,8.568,2.6,15.6,0.292963,3.0009
3.084,8.568,3,10.2,0.380862,1.874137
3.084,8.568,0.8,8.2,0.098423,1.538832
8.261,8.568,8.8,34.4,1.458956,6.564396
8.261,8.568,11,4.6,1.611799,0.927583
8.261,2.308,9,1,1.836069,0.213201
8.261,2.308,10.4,1.6,1.891736,0.396892
2.97,2.308,5.2,3.2,0.85506,0.553053
5.822,2.308,12.2,14.4,2.227288,2.515167
2.899,2.641,2.6,0.6,0.291332,0.233819
2.899,2.641,0.6,10.8,0.068185,2.29795
4.018,2.641,3.8,3.2,0.452457,0.661689
7.45,2.641,6.6,6.2,0.864691,1.511148
7.45,2.641,2.6,2.8,0.307738,0.528056
7.45,2.641,2.6,0.2,0.369113,0.048901
3.399,2.641,4.4,2.2,0.685232,0.463731
4.003,2.641,1.2,2.8,0.120351,0.573107
3.695,2.641,40.4,2.2,5.242734,0.468469
2.651,2.641,2.8,1.6,0.448008,0.40255
2.651,3.655,4.2,9.4,0.871279,1.606713
2.651,2.218,0.6,5.2,0.089401,1.014064
2.651,2.218,2.6,12.4,0.376884,2.769286
2.651,2.218,4.6,2.4,0.803706,0.578666
2.651,2.218,2.6,3.6,0.391881,0.774173
2.651,2.218,1.6,4.2,0.290628,0.865724
2.651,2.218,5,7.6,0.97547,1.56648
2.651,2.218,4,3,0.811736,0.616863
2.651,2.218,1.8,5.4,0.340131,1.227063
2.651,2.218,3,2.2,0.506132,0.461321
2.651,2.218,2.8,2.8,0.450563,0.534333
2.651,2.218,4,9,0.772386,2.050778
2.651,2.218,4,3,0.735237,0.680221
2.879,2.218,2.6,5.4,0.482885,0.957541
2.879,2.218,2.2,2.6,0.361573,0.565046
3.014,2.218,4.2,0.8,0.734413,0.176671
3.333,2.218,0.2,3.8,0.033458,0.825525
2.294,2.218,1.4,10.4,0.421068,2.10807
6.791,2.218,1.2,2.4,0.142225,0.443072
6.791,2.218,8.4,2.2,1.425787,0.581589
3.263,6.477,17.4,12.2,2.194719,2.667755
3.263,4.659,5,4.4,0.641156,0.879054
3.263,4.659,2.4,30.6,0.292478,5.335902
3.263,4.659,2.4,2.6,0.343168,0.509526
3.263,4.453,1.8,7.6,0.237979,1.265977
2.812,3.767,1.2,1.6,0.181168,0.263191
2.871,4.642,0.8,4.2,0.088683,0.899517
2.238,4.642,2.8,2.4,0.419326,0.539441
2.238,7.672,1,9.4,0.153866,1.190168
2.562,7.672,5,5.8,0.94939,0.895651
2.516,7.672,4.8,6.4,0.579981,0.903813
4.001,7.672,7.6,13.4,0.79193,1.876622
4.001,3.314,5,6.8,0.639931,0.905214
4.001,6.519,1.4,14.6,0.169688,2.704521
4.001,6.519,0.6,3.4,0.058644,0.644681
4.001,6.519,1.2,13.4,0.132367,2.230378
4.001,6.519,3.2,2.2,0.495879,0.334708
4.001,6.519,3,24.8,0.38592,4.681163
3.318,6.519,1.8,14.4,0.292689,2.230785
11.224,6.519,4.8,11.8,0.677472,2.151642
11.224,6.519,9,15.4,1.079738,2.637565
5.38,6.519,2,6.6,0.262256,1.287845
1.59,6.519,1.4,17,0.23144,3.398898
10.734,1.896,5,1.4,0.739432,0.252505
10.734,1.66,2,1.4,0.336246,0.292948
2.007,1.66,10.6,6,1.792943,1.141005
3.791,3.382,1.8,2.4,0.237473,0.571699
4.33,3.382,2.4,4,0.292395,0.843057
7.806,3.382,4.6,2.2,0.733639,0.756142
7.806,3.382,4.8,10.6,0.694869,2.328894
7.806,2.352,4.4,3.2,0.552041,0.904655
7.806,1.281,10.6,4.4,1.681809,0.755797
7.806,1.281,5.2,2.6,0.804956,0.561113
7.806,1,2.6,3.2,0.402197,0.684061
6.273,3.771,4.6,5.2,0.562309,1.151911
3.996,1.642,4.2,3,0.496784,0.920411
2.787,6.25,4.8,6.8,0.656383,0.829921
5.506,1.731,16.2,0.4,2.122131,0.140524
5.506,3.181,16.2,1.6,2.654269,0.265168
1.318,0.615,16.2,1,2.756801,0.369755
3.528,0.615,3.4,0.2,0.854766,0.086618
3.528,2.468,2,5.6,0.319076,0.992892
3.528,2.468,1.2,2.4,0.199247,0.619639
3.528,2.468,2.4,2.6,0.361424,0.589972
3.528,2.468,2.6,0.6,0.651731,0.200223
3.528,2.222,2.4,4.8,0.41243,0.904146
3.528,3.831,2.2,17.2,0.397289,3.136019
3.528,3.831,1.8,3.4,0.245122,0.879124
3.528,3.831,6.8,1.2,1.220657,0.22164
3.528,3.831,4,7.2,0.746626,1.552548
3.528,3.831,3,9,0.627542,1.711132
3.528,3.831,12.4,1.6,2.360067,0.475659
3.528,3.831,4.4,1.2,1.309146,0.279076
3.528,3.831,1,7.2,0.189624,1.754157
3.528,3.831,3.4,2.4,0.598822,0.455138
3.528,3.831,3.2,6.2,0.790134,1.404639
3.528,3.831,2,5.8,0.41073,1.378852
3.528,2.614,7.6,1.4,1.314263,0.282091
3.528,2.614,3,2.8,0.47384,0.527192
3.528,1.925,1.8,1.2,0.346474,0.282234
3.528,1.925,4.2,1.6,0.607359,0.334754
3.528,4.026,2.6,9.4,0.33247,2.195657
3.528,4.026,8.8,1.4,1.638331,0.265238
3.528,4.026,8,4.8,1.402565,1.010537
3.528,4.026,2,5.8,0.311712,1.208348
3.528,4.026,4.2,4.4,0.784129,0.759687
3.528,2.913,1.4,4.8,0.253899,0.84749
3.528,2.913,1.2,6.4,0.206589,1.127007
3.528,2.913,2,1.4,0.371969,0.305465
3.528,1.857,3.2,2.8,0.589092,0.499927
3.528,1.857,5.2,6.8,0.980567,1.379488
3.528,1.857,3.6,7.6,0.672865,1.900333
3.528,1.857,1,1.6,0.171746,0.359204
3.528,3.123,1.6,3,0.254797,0.657202
3.528,3.123,2,2,0.39764,0.470988
3.528,3.123,17.8,6,3.293688,1.368183
3.528,10.539,6.6,5,1.189062,1.23252
3.528,8.958,3.2,19,0.419353,3.336462
3.528,8.958,2.4,9.2,0.394348,2.115558
3.528,2.013,5,0.2,0.834326,0.051675
3.528,6.39,10.8,10.6,1.856575,1.890214
