JCR,RCR,Journ
15.05,0.769375269,Gene Dev
3.759,0.124729551,Bmc Genomics
5.853,0.75591158,Am J Clin Nutr
10.131,0.737300844,Blood
3.226,0.496819874,Biochemistry-Us
3.446,0.604885252,Chembiochem
4.357,0.195602168,Arthritis Res Ther
4.48,0.452407704,Movement Disord
3.122,0.72839397,Clin Neurophysiol
2.713,0.447548145,Exp Clin Psychopharm
3.063,0.639157125,Brit J Clin Pharmaco
2.092,2.326480438,Neurosci Lett
4.146,0.173451609,Stem Cells Dev
3.313,3.360222178,Magnet Reson Med
4.379,0.108974389,Antimicrob Agents Ch
6.028,0.567353917,Mol Biol Cell
10.231,0.794136592,P Natl Acad Sci Usa
7.656,0.60803008,Cancer Res
6.145,0.569538309,Rna
14.345,1.99141409,Nat Neurosci
9.127,0.754293778,Am J Psychiat
5.095,0.194923484,Rna
6.348,0.371870098,Aids
6.52,0.905619481,Mol Biol Cell
2.904,0.399714798,Biochem Bioph Res Co
4.649,1.171942235,J Physiol-London
2.648,0.069913574,Biochem Bioph Res Co
8.58,1.21602989,J Am Chem Soc
5.457,3.095780251,Neuroimage
2.295,0.192347955,Int J Oncol
2.943,0.389993759,Acta Crystallogr D
7.115,0.10575049,J Neurosci
6.064,0.361659562,Cardiovasc Res
3.277,0.458068602,Fertil Steril
2.174,0.467481043,Anal Biochem
7.419,1.601384729,J Am Chem Soc
3.881,0.236851749,Am J Physiol-Heart C
11.355,0.683220636,Hepatology
3.592,1.133339834,J Neurophysiol
4.887,0.598722083,Cell Signal
1.819,0.442625127,Ieee T Ultrason Ferr
4.993,0.93469089,Endocrinology
3.396,0.360899776,Nephrol Dial Transpl
3.114,0.852941128,J Neurophysiol
4.272,0.287511436,J Physiol-London
14.505,1.468197967,J Exp Med
4.008,0.251911739,Biochemistry-Us
2.72,0.304328347,Behav Pharmacol
6.482,0.224265486,J Biol Chem
6.057,0.642801569,Mol Cell Biol
4.964,0.351824346,Heart
4.89,1.176999713,J Mol Biol
3.539,0.516123425,Am J Physiol-Heart C
16.559,3.004378286,J Clin Invest
12.755,0.689714308,Circulation
5.397,0.259468591,Structure
2.328,0.126583118,Stat Med
3.131,0.164128556,Magn Reson Med
4.313,0.216499032,Proteins
4.627,0.631108339,Biophys J
4.716,1.595943635,Antimicrob Agents Ch
5.121,0.361912442,Neurobiol Dis
3.843,1.291534442,J Hum Evol
9.603,2.257661765,Brain
29.431,1.51833742,Cell
6.495,0.459410515,Oncogene
9.681,5.285415762,P Natl Acad Sci Usa
7.907,1.795858184,J Neurosci
4.148,0.350361198,Exp Cell Res
31.201,1.29065985,Science
6.443,0.352732865,J Bone Miner Res
7.567,0.536327261,Embo Rep
3.632,0.779033389,J Appl Physiol
3.774,0.562925601,J Comp Neurol
2.477,1.262154587,Eur J Pharmacol
2.817,0.421184526,Dev Neurosci-Basel
5.359,0.089817643,Cell Cycle
3.072,1.036040317,J Endocrinol
3.681,1.151335951,Am J Physiol-Gastr L
3.94,0.31362415,J Bacteriol
5.599,0.683089625,Neurobiol Aging
6,0.244266272,J Immunol
4.16,1.080949506,Mol Cancer
6.677,0.971688195,Chem Biol
1.968,0.916035529,Brain Behav Evolut
7.396,1.905101776,Nat Commun
5.018,0.514685474,Rna
6.057,1.102884656,Mol Cell Biol
4.773,0.834224309,J Biol Chem
5.328,0.36962729,J Biol Chem
10.231,0.959144352,P Natl Acad Sci Usa
2.803,0.126768199,Pediatr Res
3.17,0.549549518,Menopause
3.644,0.40326629,Ann Thorac Surg
2.705,0.193439896,Peptides
14.191,5.03420173,Nat Neurosci
1.841,0.071954489,J Comp Physiol A
10.746,1.428500158,Ann Neurol
10.231,1.085759499,P Natl Acad Sci Usa
4.29,0.300732513,Osteoporosis Int
1.28,0.842249487,J Comp Psychol
1.246,0.292221805,Ophthal Epidemiol
1.411,0.061156349,Visual Neurosci
4.443,0.67441676,Toxicol Sci
12.386,0.917373068,Gastroenterology
3.054,0.225944743,J Neuroimmunol
3.071,0.589238194,Virology
4.156,0.70003193,Am J Med Genet B
2.787,0.211161788,Protein Eng Des Sel
7.479,0.23578167,Nucleic Acids Res
4.533,0.500643217,Mol Cancer Res
8.649,0.85907172,Cancer Res
3.409,0.960114684,J Cell Biochem
3.633,0.888255723,Biochemistry-Us
3.151,0.523866067,Chemmedchem
4.352,0.784375746,J Physiol-London
2.905,0.698382072,Exp Hematol
6.283,0.650402138,Crit Care Med
5.328,1.827989233,J Biol Chem
5.063,0.514671647,Free Radical Bio Med
3.169,1.28533297,Dev Dynam
6.355,1.177665609,J Biol Chem
28.389,2.054204956,Cell
3.548,0.404544718,J Endocrinol
5.08,1.631701223,Mol Pharmacol
5.225,0.401994854,Mol Cancer Ther
5.861,0.180400303,Mol Biol Cell
2.667,0.392939666,Heart Rhythm
5.225,1.071824707,J Virol
3.668,2.407754005,Glycobiology
5.328,0.630218897,J Biol Chem
3.792,0.524405343,Ann Thorac Surg
5.607,0.693151624,Neurobiol Aging
4.137,0.167649652,Am J Physiol-Lung C
4.218,0.11532506,Biophys J
9.667,1.522358102,Mol Syst Biol
3.206,0.208818847,Arch Ophthalmol-Chic
9.598,2.138636038,P Natl Acad Sci Usa
18.306,0.949906802,Immunity
3.763,0.280984987,J Affect Disorders
1.619,0.561539126,Eur J Appl Physiol
2.478,1.378536035,Bioorg Med Chem Lett
4.337,0.194829699,J Neurochem
3.932,0.603373584,Am J Med Genet B
3.349,2.073339589,Psychophysiology
8.099,0.826208172,Hum Mol Genet
4.491,1.167217411,Antioxid Redox Sign
16.811,1.867747021,Mol Cell
4.898,3.371278728,J Med Chem
13.156,2.627049644,Mol Cell
2.062,0.592223879,Hearing Res
5.558,0.271333414,Mol Biol Cell
4.812,0.507214719,Gene Ther
5.402,0.240483467,Carcinogenesis
7.656,2.158774626,Cancer Res
4.003,0.317965093,J Pharmacol Exp Ther
5.234,0.334861473,Dev Biol
7.696,0.422861587,J Am Chem Soc
10.232,1.227069128,Angew Chem Int Edit
3.215,0.713757024,Neuroscience
7.332,0.291436175,Arthritis Rheum-Us
3.592,1.022148964,J Neurophysiol
4.001,0.71541857,J Mol Biol
5.457,3.56108219,Neuroimage
2.128,0.088794075,J Periodontal Res
9.38,0.832215427,P Natl Acad Sci Usa
5.308,0.312094309,J Virol
7.885,1.107100815,J Am Chem Soc
2.84,0.074538506,Bmc Med Genet
7.271,0.412091656,J Neurosci
4.002,0.18647913,J Org Chem
14.033,3.299279899,Mol Cell
3.922,3.612632657,Biochemistry-Us
10.403,1.250583038,Trends Immunol
2.333,0.094692234,Dev Neurobiol
3.476,0.462660359,J Neurosci Res
3.024,0.792753063,Cancer Biol Ther
4.069,1.233560309,Dev Biol
4.819,0.879314251,Mol Microbiol
2.424,0.077988119,Pediatr Diabetes
7.452,0.372656121,J Neurosci
8.58,0.796718147,J Am Chem Soc
5.684,0.500499121,J Proteome Res
6.373,0.875433839,Oncogene
3.625,0.407628565,J Am Soc Mass Spectr
10.84,1.63464561,Hepatology
3.547,0.147248639,Bioconjugate Chem
14.17,3.495003259,Neuron
2.726,0.387581033,Evol Dev
7.856,1.612182724,Cancer Res
3.531,0.311088475,Obesity
4.219,1.994455644,J Org Chem
7.514,1.185274099,Cancer Res
7.614,1.501351022,Am J Psychiat
11.901,5.661784046,Curr Biol
4.602,0.362171396,Lab Invest
3.462,0.368303213,Protein Sci
2.231,0.110057527,Jpen-Parenter Enter
3.166,0.614159184,Alcohol Clin Exp Res
9.432,0.731707422,P Natl Acad Sci Usa
4.473,0.04663926,Pediatrics
2.085,1.169113472,Neurosci Lett
1.884,0.295884109,Neurocase
5.361,0.849372217,Mol Microbiol
2.836,0.360523241,Biochem Bioph Res Co
1.725,0.372766223,Anticancer Res
3.322,0.149159954,Chembiochem
2.027,0.369518882,Vision Res
4.007,0.488311604,Exp Cell Res
13.523,2.15985648,Dev Cell
2.076,0.164031581,Cytogenet Genome Res
9.38,1.62835564,P Natl Acad Sci Usa
9.598,2.501465974,P Natl Acad Sci Usa
3.283,0.258480413,Exp Gerontol
4.824,2.527155282,Acta Biomater
3.422,0.182282673,Biochemistry-Us
10.139,0.379636451,Genome Res
6.562,1.183019079,Mol Biol Cell
3.351,0.330376633,J Abnorm Psychol
2.892,0.46006908,J Pers
28.103,1.158770579,Science
6,0.355850926,J Immunol
5.115,0.073524521,J Med Chem
4.081,0.391725734,J Am Acad Dermatol
10.452,1.153457584,P Natl Acad Sci Usa
5.328,0.470832523,J Biol Chem
3.131,0.259086912,J Dent Res
5.15,0.286171985,J Virol
2.355,0.341981845,Pharmacol Biochem Be
10.231,1.713216741,P Natl Acad Sci Usa
5.068,1.919470082,Lab Chip
3.446,0.750476467,Chembiochem
4.195,0.431705312,Org Lett
9.12,1.310611724,J Cell Biol
2.185,1.407729583,J Biomed Mater Res B
4.411,0.074672208,Plos One
3.368,0.636975119,Biochemistry-Us
5.808,0.549467098,J Biol Chem
4.756,3.304568878,J Control Release
9.771,0.268362141,P Natl Acad Sci Usa
2.168,0.107049955,Mol Cell Biochem
5.697,0.666451991,Am J Pathol
5.398,0.449905826,J Virol
28.878,1.466272082,Nat Med
4.1,0.381389389,Biochem J
29.273,2.970327891,Nature
2.352,0.544883798,Neuroepidemiology
2.79,0.549642858,Bmc Dev Biol
5.559,1.102530173,Neuroimage
