LogOfSumRCR03-06,LogOfSumRCR07-10
1.565932851,1.453887921
1.205435352,1.179479275
1.577080961,1.148691918
0.869850535,0.92339056
0.86965555,0.869795724
0.758132229,1.169503777
1.237615745,0.925222222
1.093105834,1.336467454
1.172329833,1.165144691
1.704193305,1.464918011
0.970307545,1.465145811
0.81388636,0.553552904
1.115245917,1.262863382
0.96819604,0.789733808
0.76634909,1.332808032
0.824794321,0.972694713
1.619699102,1.341188599
0.903453433,0.610732484
0.964673875,0.960663043
1.268080732,0.960723818
0.61233223,1.019989802
0.661522381,0.904352883
0.903832742,0.728913509
1.225397339,1.147754105
0.927122064,0.791369995
1.576674704,1.529674992
0.639946854,0.525804125
1.332590665,1.242934475
0.840685974,0.864742091
1.17363106,1.513632606
0.764995233,0.759122926
0.843123752,1.155326759
0.687852912,0.729697598
0.739101628,0.896248135
0.809947324,0.833607087
1.213160436,1.042090562
1.156470431,0.940964789
1.052651556,0.658542323
0.56950939,0.63730213
1.076399854,0.793705758
0.886224786,0.86999736
1.254696037,1.108973542
0.811086075,0.964367529
1.327775749,1.327551156
1.568572475,1.581705153
0.440999005,0.406860836
0.594624125,0.792886272
1.231074177,1.143735646
1.124735777,0.840925105
1.32578488,1.15749252
1.114991931,0.960440453
0.777284766,1.128522589
1.313103951,1.221055614
0.696493622,1.179177399
1.257737285,1.342213933
0.670296225,0.733575982
1.28210371,0.915878515
1.36691771,1.295324182
1.850372972,1.653037794
1.224236868,0.812491817
0.897222098,1.047537053
0.999130874,0.841140921
0.940728367,0.566140431
1.15940653,1.084153152
1.010205016,1.092874647
1.438957653,1.219007772
0.709816356,0.575107899
1.106003023,0.8293667
0.896585359,0.834558537
1.031459238,1.008579101
0.971231577,0.976971019
0.968826488,0.701219181
1.179036956,0.891356639
1.348255983,1.397534811
1.758759162,1.690523082
0.408912624,0.644621231
1.379748004,1.146699763
1.283940547,1.146660136
1.143214804,1.205096875
0.455076027,0.620414589
0.56981614,0.588265097
0.842198108,0.375507187
1.46938751,1.875329226
0.91319366,0.449178402
1.470573199,1.300792103
1.950738721,2.031260443
1.025405212,1.308518374
1.071134648,0.92438949
0.939640591,0.978914486
1.383540723,0.786369381
0.823202829,1.521745367
1.395060045,1.392402409
1.229061956,1.5869302
1.025318581,1.126626265
1.046664118,0.782666422
0.980182972,0.671376414
1.292438339,1.500775898
0.887629712,0.814052653
0.768285837,0.839966152
0.759262927,1.446617699
1.032241269,1.613667282
1.459092096,1.490686889
1.03021669,1.068352105
1.332214353,0.875878324
0.982118881,1.013870644
1.006944929,1.157826511
1.278080526,1.394345245
0.881837106,1.069131146
0.696688392,1.168066381
1.044448734,1.343347698
0.813299187,0.68464118
1.863924524,1.072727395
1.229823294,1.124085118
0.551844466,1.318786031
1.215216393,1.377906229
1.208256152,1.100957515
1.069877606,0.722928367
0.7180633,0.775415463
1.025694369,0.770808151
0.714506761,1.649616924
0.885650504,0.886528221
1.295717738,1.302438429
1.524489644,1.044754323
1.311532736,1.368020344
1.429043794,1.349804371
0.724693821,0.540347965
1.200184938,1.393420803
0.757677647,0.8616159
1.061054537,1.276653189
0.458191767,0.448543551
0.976686698,1.069237758
0.840761271,1.07013583
0.969563498,0.606035395
1.099793685,1.205251289
1.239427744,0.99108409
1.114128999,1.052821902
0.484048653,0.60676933
0.758456473,1.207199393
1.180541976,0.990726794
1.28836052,1.375441673
1.199468204,0.988091925
1.151167591,1.203311419
0.963893759,1.216570854
1.286810605,0.999825527
0.950866228,1.075415351
0.805555053,0.74440021
1.049259103,1.213481893
0.188488021,0.53840135
0.521980836,0.705141116
0.903042496,1.310726652
0.798595952,0.8690004
1.172984005,1.244382022
0.705096719,1.03827564
0.960060634,1.126926923
1.410893831,1.537566971
1.218107271,1.03395037
0.565152381,0.260963975
1.276879744,1.186411566
1.198354512,1.040359983
0.820393831,1.055908917
0.676791862,0.62889217
0.767630873,0.572329722
0.93891577,1.430302765
0.947715841,0.839602197
0.813572106,1.090163019
0.69144364,0.79272872
1.217499402,1.030256642
0.980673478,1.155154334
0.842615227,0.753771009
1.000821379,1.26807469
0.877010758,0.683632407
1.022822111,0.676735406
0.616709437,1.691578503
1.058625585,0.893548255
0.752552601,0.961727908
0.782020994,0.651196923
1.160329762,1.624220176
0.849231463,0.784956899
0.658205472,0.536152664
1.061427345,1.521604985
0.500015178,0.98361095
1.582151508,1.231581423
1.101117766,1.282456702
0.319032893,0.779002268
1.004619833,1.234571636
0.862632332,0.916020984
0.762290021,0.715806679
0.576468366,0.76684905
0.665654485,0.640405496
0.61980306,1.148225375
1.506175423,1.624545806
1.065415473,1.061784707
0.749284089,0.946261723
1.048382375,1.063289585
0.877705087,1.141493607
1.913946814,2.068748643
0.986774898,0.652821611
1.041466793,1.080031192
0.865662585,1.529333027
1.075171912,1.209541704
0.835706113,0.717299192
1.020545726,1.477117768
0.831558907,0.738800864
0.828128645,0.635464775
1.027986056,0.835831075
1.294883887,1.475834322
0.830787649,0.690473699
1.355452017,1.346355197
0.969757848,0.833558873
1.16364676,0.887088804
0.992551082,1.121602547
0.882597433,0.885385159
0.625872667,0.611841025
0.290348529,0.558956806
0.922886726,0.927965658
0.690823802,0.561411184
1.070529623,0.798357591
1.109834401,1.691296292
0.948234585,1.102087853
0.786869867,0.984423648
1.244441128,1.13237336
0.841897273,0.873902705
0.951245155,1.10512423
0.985412674,1.107724744
0.786511053,0.644477248
0.972457806,1.186093021
0.909136299,0.91960075
1.24542859,1.558809946
0.569201284,0.570072762
0.890901486,0.985888365
0.506329922,0.561691861
0.611427595,1.109958039
0.287367168,0.533917922
1.305415973,1.315298069
1.275677744,0.651464306
0.906159702,0.891345844
0.806363865,0.879364548
1.36281309,1.149258377
0.770917218,0.751582793
0.942374797,0.546041853
1.404275761,0.901621749
0.783246644,0.698734727
0.721196231,0.903396675
0.390009664,0.433622749
1.016894083,1.167846442
0.788979157,1.282415543
0.95147687,0.967526105
1.087801851,0.685527944
1.091257062,0.676537142
0.820957974,0.80781601
0.667349195,0.398537882
0.71395483,0.483873923
0.81660494,0.703686682
0.876872748,0.472933618
0.962967087,1.151419335
0.821682654,0.903857134
0.382006923,0.771698827
0.368623333,0.937345726
0.664968744,0.602415496
1.047901377,1.042289586
1.439974469,1.582685217
0.958135113,0.441401114
0.754222403,0.74341288
0.976177385,0.795443952
0.650870811,0.822688477
0.999187022,0.846475423
0.905354027,0.897927619
1.214332685,0.976357756
0.755644711,1.036921718
1.011987309,0.865712325
0.922063083,0.825712453
0.82694751,0.549378086
1.540605113,1.923916707
1.067925668,0.207352089
0.997059301,0.88988134
0.534521118,0.680618661
1.05650222,1.070557911
1.193579045,0.707438817
0.992041569,1.221035523
1.283055146,1.419462895
0.93061179,0.671833264
0.86645917,0.735819721
1.226440333,1.424626431
0.585959435,1.232256616
1.217286358,1.055111588
0.684977648,0.539951521
1.00448987,1.097775209
1.773965033,1.709413682
0.570999283,0.818111307
1.221285343,0.986481101
1.063255288,1.041787639
1.319501232,0.774037627
1.605814643,1.37727503
1.067884871,1.174002315
1.098062674,1.163967719
1.368476196,1.31083105
1.287049525,1.348997619
0.562374051,0.679303765
1.003254223,0.878600724
0.988543954,0.52926596
1.498598653,1.74321348
1.003106478,0.50100136
0.446878874,1.194405595
0.765032596,0.78246615
1.322529694,1.045013351
0.623008782,0.408440227
0.29801574,1.108181032
1.006238954,0.853186305
1.11541347,0.964084406
1.391502218,1.314213829
1.280329072,1.249410671
0.972058546,0.836503912
0.969481111,0.725653919
1.008007263,1.109418922
0.51950718,0.783319989
0.731099145,0.600868521
0.518082413,0.784914246
0.858535022,0.406704492
1.092405522,1.151899834
1.154394433,1.399341232
1.308907098,1.183237349
1.023498959,1.437322264
1.266586534,1.067551015
1.70333656,1.438108167
0.688724006,1.016398357
1.076571328,0.718193469
1.149196688,1.308784141
0.889353767,0.681745263
1.299932463,1.039010809
0.848590334,0.848562641
1.153344492,1.15555211
0.813643743,1.231807696
1.127700178,1.527246757
1.270338283,1.442615049
1.674542059,1.772511458
1.0149817,1.097806643
0.77784099,0.767436694
1.328138774,1.335416061
1.209727045,1.041986202
1.070028616,0.682706365
1.832373968,1.627392016
0.638669483,0.565542419
1.216991198,1.188197156
0.832546821,1.113472614
0.621638031,0.391999361
0.771181344,0.985851757
0.695206335,0.707072217
1.006598988,0.730343841
0.13909497,0.544096275
0.922317359,0.935391441
1.153160271,1.197536328
0.89055643,1.523338583
0.770903722,1.035671818
1.065299595,1.360060261
0.767092834,0.752350868
1.334299835,1.474147311
0.736957824,0.597621936
1.71788512,1.930525472
1.603924075,1.225230565
1.726802851,1.410541641
0.974060549,1.159295275
1.193195469,1.317209836
1.644546249,1.425001133
1.379203491,1.172462084
1.239258107,1.012548237
0.900316921,0.549335066
1.297964998,1.10708027
1.346484553,1.242369115
1.225172221,1.118190958
0.862850828,1.03685545
0.593394299,0.681086666
1.416739164,1.520028135
1.386664461,1.756006431
0.529854298,0.397138593
0.894404775,1.036889153
1.121177718,1.524168089
1.181264574,1.039174971
1.879900587,1.676223339
0.9096145,0.824967366
0.857387201,0.875315629
1.368439125,1.241239093
1.061708684,0.876056285
