Row Labels,2003,2004,2005,2006,2007,2008,2009,2010,2011
Nature,30.979,32.182,29.273,26.681,28.751,31.434,34.48,36.104,36.28
Cell,26.626,28.389,29.431,29.194,29.887,31.253,31.152,32.406,32.403
Science,29.781,31.853,30.927,30.028,26.372,28.103,29.747,31.377,31.201
J Clin Invest,14.307,14.204,15.053,15.754,16.915,16.559,15.387,14.152,13.069
Blood,10.12,9.782,10.131,10.37,10.896,10.432,10.555,10.558,9.898
Diabetes,8.298,8.848,8.028,7.955,8.261,8.398,8.505,8.889,8.286
Nucleic Acids Res,6.575,7.26,7.552,6.317,6.954,6.878,7.479,7.836,8.026
Mol Biol Cell,7.454,7.517,6.52,6.562,6.028,5.558,5.979,5.861,4.942
Org Lett,4.092,4.195,4.368,4.659,4.802,5.128,5.42,5.25,5.862
J Bacteriol,4.175,4.146,4.167,3.993,4.013,3.636,3.94,3.726,3.825
Brain Res,2.474,2.389,2.296,2.341,2.218,2.494,2.463,2.623,2.728
J Accoust Soc Am,1.398,1.482,1.677,1.433,1.587,1.717,1.523,1.644,1.55
