STPI_Internal_Correlation,IRP_Internal_Correlation
0.293887,0.442182
0.271543,0.437747
0.366417,0.427712
0.320456,0.388423
0.320024,0.397647
0.320893,0.412856
0.304642,0.455302
0.310753,0.361217
0.273498,0.355635
0.343821,0.394425
0.315174,0.369836
0.337814,0.403996
0.299143,0.514686
0.315328,0.446126
0.327831,0.340398
0.325637,0.382778
0.32045,0.391057
0.280303,0.469658
0.324557,0.516547
0.317319,0.429458
0.365854,0.407255
0.304907,0.420706
0.372878,0.487471
0.335566,0.468498
0.349146,0.355409
0.353433,0.449886
0.33634,0.384799
0.321057,0.2393
0.260155,0.399262
0.309368,0.45643
0.323389,0.504472
0.356819,0.436633
0.3317,0.419796
0.345672,0.424682
0.308268,0.457027
0.341245,0.452814
0.32048,0.529294
0.262776,0.291061
0.322892,0.352456
0.315921,0.509309
0.309555,0.40248
0.327345,0.375426
0.309512,0.32441
0.304243,0.462288
0.293483,0.470006
0.306404,0.497657
0.321405,0.42314
0.299103,0.430809
0.328581,0.449484
0.316259,0.428503
0.332296,0.489513
0.27759,0.409208
0.281237,0.459004
0.318154,0.431293
0.333564,0.490275
0.300147,0.480554
0.342377,0.405576
0.31532,0.413092
0.338935,0.375404
0.326233,0.444191
0.381157,0.403822
0.33305,0.390101
0.337043,0.487841
0.340733,0.548041
0.303272,0.433993
0.369924,0.538349
0.3075,0.496631
0.333982,0.450517
0.369668,0.384382
0.293681,0.409503
0.361856,0.371985
0.315987,0.499866
0.307894,0.367259
0.3666,0.480637
0.303781,0.413379
0.262012,0.485182
0.259128,0.444929
0.355193,0.551096
0.36271,0.477416
0.268259,0.455347
0.325932,0.478473
0.337378,0.436121
0.357973,0.390548
0.30136,0.466813
0.318602,0.490693
0.357585,0.372647
0.294427,0.462331
0.287439,0.446639
0.341406,0.46913
0.299204,0.416573
0.312109,0.439013
0.304031,0.38202
0.366591,0.404304
0.322445,0.432403
0.316381,0.451168
0.330358,0.46397
0.267048,0.51868
0.289506,0.426396
0.345957,0.454266
0.332899,0.428238
0.340357,0.55809
0.320122,0.47716
0.317678,0.501414
0.312223,0.359123
0.291541,0.429305
0.361763,0.471806
0.301213,0.445941
0.324183,0.389598
0.310941,0.375019
0.342739,0.493983
0.316176,0.453578
0.318593,0.547598
0.337471,0.393875
0.339051,0.405576
0.274943,0.510068
0.323635,0.347692
0.326884,0.364774
0.341195,0.469312
0.3522,0.429429
0.314352,0.381107
0.31815,0.450187
0.31529,0.455814
0.301737,0.4456
0.343788,0.538349
0.287605,0.466982
0.309378,0.465656
0.2956,0.465476
0.360008,0.48956
0.339338,0.491999
0.333224,0.49299
0.276336,0.394891
0.29087,0.479896
0.323577,0.522231
0.34722,0.402201
0.288647,0.452981
0.303436,0.457865
0.301343,0.386269
0.374422,0.460161
