FCR bin,Count,medianFCR bin,Count
0.5,2,0.5,3
0.75,6,0.75,7
1,6,1,9
1.25,11,1.25,21
1.5,49,1.5,101
1.75,44,1.75,99
2,60,2,155
2.25,79,2.25,259
2.5,110,2.5,393
2.75,140,2.75,475
3,228,3,714
3.25,227,3.25,999
3.5,313,3.5,1404
3.75,365,3.75,1874
4,434,4,2027
4.25,494,4.25,2194
4.5,539,4.5,1923
4.75,644,4.75,1956
5,723,5,2055
5.25,856,5.25,2939
5.5,961,5.5,2352
5.75,1128,5.75,2322
6,1234,6,1282
6.25,1385,6.25,1534
6.5,1407,6.5,1817
6.75,1438,6.75,752
7,1514,7,788
7.25,1544,7.25,888
7.5,1451,7.5,1190
7.75,1445,7.75,718
8,1417,8,326
8.25,1386,8.25,241
8.5,1297,8.5,74
8.75,1131,8.75,158
9,1126,9,211
9.25,1026,9.25,154
9.5,1010,9.5,532
9.75,933,9.75,268
10,867,10,167
10.25,810,10.25,161
10.5,791,10.5,88
10.75,693,10.75,19
11,600,11,30
11.25,497,11.25,10
11.5,528,11.5,8
11.75,419,11.75,10
12,365,12,12
12.25,303,12.25,3
12.5,294,12.5,5
12.75,282,12.75,12
13,205,13,14
13.25,210,13.25,6
13.5,143,13.5,7
13.75,116,13.75,2
14,120,14,6
14.25,83,14.25,5
14.5,60,14.5,11
14.75,59,14.75,3
15,35,15,2
15.25,38,15.25,3
15.5,26,15.5,4
15.75,20,16,3
16,17,17.25,2
16.25,10,17.75,1
16.5,10,19,1
16.75,4,,
17,7,,
17.25,5,,
17.5,5,,
17.75,3,,
18,1,,
18.25,6,,
18.5,3,,
18.75,1,,
19,1,,
19.25,4,,
19.5,1,,
19.75,1,,
